customer_id,Total_Spending,Purchase_Frequency,Total_Quantity,Avg_Spending,Age
C100004,7502.0,1,5,7502.0,61.0
C100005,2400.68,1,2,2400.68,34.0
C100006,322.56,1,3,322.56,44.0
C100012,130.75,1,5,130.75,25.0
C100019,35.84,1,1,35.84,21.0
C100025,143.36,1,2,143.36,55.0
C100028,15.15,1,1,15.15,21.0
C100030,4801.28,1,4,4801.28,46.0
C100034,1200.32,1,2,1200.32,60.0
C100041,2700.7200000000003,1,3,2700.7200000000003,50.0
C100042,650.56,1,4,650.56,28.0
C100045,5.23,1,1,5.23,48.0
C100066,322.56,1,3,322.56,46.0
C100067,600.17,1,1,600.17,62.0
C100078,60.6,1,2,60.6,64.0
C100088,5.23,1,1,5.23,30.0
C100090,162.64,1,2,162.64,62.0
C100095,130.75,1,5,130.75,31.0
C100096,2700.7200000000003,1,3,2700.7200000000003,40.0
C100099,136.35000000000002,1,3,136.35000000000002,64.0
C100102,2700.7200000000003,1,3,2700.7200000000003,18.0
C100105,5.23,1,1,5.23,49.0
C100106,4801.28,1,4,4801.28,54.0
C100110,7502.0,1,5,7502.0,28.0
C100112,300.08,1,1,300.08,68.0
C100113,4801.28,1,4,4801.28,48.0
C100115,40.66,1,1,40.66,62.0
C100121,11.73,1,1,11.73,64.0
C100123,365.94,1,3,365.94,40.0
C100124,47.07,1,3,47.07,45.0
C100130,5401.53,1,3,5401.53,42.0
C100132,47.07,1,3,47.07,53.0
C100138,2400.68,1,2,2400.68,58.0
C100139,1050.0,1,1,1050.0,35.0
C100141,60.6,1,2,60.6,33.0
C100148,2700.7200000000003,1,3,2700.7200000000003,63.0
C100152,1200.32,1,2,1200.32,45.0
C100154,15.15,1,1,15.15,54.0
C100155,300.08,1,1,300.08,61.0
C100156,83.68,1,4,83.68,62.0
C100157,1016.5,1,5,1016.5,42.0
C100159,896.0,1,5,896.0,32.0
C100168,26250.0,1,5,26250.0,48.0
C100172,573.44,1,4,573.44,41.0
